status,cell_id,broker,cost_model,symbol,path_index,test_folds,purge_days,train_trade_count,train_profit_factor,train_total_pnl_usd,oos_trade_count,oos_profit_factor,oos_total_pnl_usd,oos_win_rate,source_trade_file
PASS,1,capital_com,best_case,XAUUSD,1,0+1,1.0,4852,1.4124169975408505,18506970.773475688,2429,1.3626654602908417,136050.75081016292,0.49032523672293127,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,2,0+2,1.0,4835,1.4143179829458534,18323610.244625844,2430,1.3109308706365246,316449.09669155296,0.48641975308641977,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,3,0+3,1.0,4834,1.4133887346050438,17641030.04142069,2429,1.3938552890645048,1000367.8198319123,0.4899135446685879,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,4,0+4,1.0,4826,1.41612622388398,15082382.06418266,2430,1.3886627478093676,3448880.056117427,0.49176954732510286,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,5,0+5,1.0,4839,1.3846413599099903,4777207.035835221,2429,1.424262744980035,13878043.983586833,0.4956772334293948,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,6,1+2,1.0,4843,1.4150248655587085,18255568.163777713,2429,1.3044682919678063,383743.9882076301,0.47632770687525733,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,7,1+3,1.0,4829,1.414182402426793,17573385.979619086,2428,1.3836974094690586,1067662.7113479893,0.4798187808896211,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,8,1+4,1.0,4821,1.4170802765841368,15014738.002381053,2429,1.385700471673232,3516174.947633504,0.48167970358172085,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,9,1+5,1.0,4834,1.3868285676298835,4709562.974033613,2428,1.4231811446416964,13945338.87510291,0.4855848434925865,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,10,2+3,1.0,4844,1.4160802027164034,17390573.98145297,2429,1.3643792449664147,1248061.0572293792,0.47591601482091395,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,11,2+4,1.0,4826,1.4195302471973068,14832010.911469629,2430,1.3787883300448711,3696573.2935148943,0.4777777777777778,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,12,2+5,1.0,4839,1.3926469167443396,4526835.883122188,2429,1.4204564166289493,14125737.220984299,0.48167970358172085,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,13,3+4,1.0,4843,1.4187248041311369,14180019.478616515,2429,1.3883025251002594,4380492.016655253,0.4812680115273775,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,14,3+5,1.0,4838,1.3853018733400937,3844255.6799170356,2428,1.4217065919361402,14809655.944124658,0.48517298187808894,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,15,4+5,1.0,4847,1.3602998982369785,1356824.4706652532,2429,1.416339419673675,17258168.180410173,0.48703170028818443,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,2,capital_com,median,XAUUSD,1,0+1,1.0,4852,1.4124169975408505,18506970.773475688,2429,1.3626654602908417,136050.75081016292,0.49032523672293127,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,2,0+2,1.0,4835,1.4143179829458534,18323610.244625844,2430,1.3109308706365246,316449.09669155296,0.48641975308641977,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,3,0+3,1.0,4834,1.4133887346050438,17641030.04142069,2429,1.3938552890645048,1000367.8198319123,0.4899135446685879,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,4,0+4,1.0,4826,1.41612622388398,15082382.06418266,2430,1.3886627478093676,3448880.056117427,0.49176954732510286,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,5,0+5,1.0,4839,1.3846413599099903,4777207.035835221,2429,1.424262744980035,13878043.983586833,0.4956772334293948,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,6,1+2,1.0,4843,1.4150248655587085,18255568.163777713,2429,1.3044682919678063,383743.9882076301,0.47632770687525733,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,7,1+3,1.0,4829,1.414182402426793,17573385.979619086,2428,1.3836974094690586,1067662.7113479893,0.4798187808896211,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,8,1+4,1.0,4821,1.4170802765841368,15014738.002381053,2429,1.385700471673232,3516174.947633504,0.48167970358172085,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,9,1+5,1.0,4834,1.3868285676298835,4709562.974033613,2428,1.4231811446416964,13945338.87510291,0.4855848434925865,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,10,2+3,1.0,4844,1.4160802027164034,17390573.98145297,2429,1.3643792449664147,1248061.0572293792,0.47591601482091395,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,11,2+4,1.0,4826,1.4195302471973068,14832010.911469629,2430,1.3787883300448711,3696573.2935148943,0.4777777777777778,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,12,2+5,1.0,4839,1.3926469167443396,4526835.883122188,2429,1.4204564166289493,14125737.220984299,0.48167970358172085,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,13,3+4,1.0,4843,1.4187248041311369,14180019.478616515,2429,1.3883025251002594,4380492.016655253,0.4812680115273775,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,14,3+5,1.0,4838,1.3853018733400937,3844255.6799170356,2428,1.4217065919361402,14809655.944124658,0.48517298187808894,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,2,capital_com,median,XAUUSD,15,4+5,1.0,4847,1.3602998982369785,1356824.4706652532,2429,1.416339419673675,17258168.180410173,0.48703170028818443,cell_2_breakout_retest_capital_com_median_trades.csv
PASS,3,capital_com,p95,XAUUSD,1,0+1,1.0,4852,1.2545547828760686,1671386.7317582616,2429,1.2723229590065872,67749.4590534254,0.49032523672293127,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,2,0+2,1.0,4835,1.2588336555752864,1640909.31659584,2430,1.205929609307053,97260.92012063143,0.48641975308641977,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,3,0+3,1.0,4834,1.256904101969172,1551607.7309374164,2429,1.2458775797111763,188281.8337015569,0.4899135446685879,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,4,0+4,1.0,4826,1.2552185779837486,1303831.2846618793,2430,1.2497294351527957,420309.26774410665,0.49176954732510286,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,5,0+5,1.0,4839,1.2343005646209517,685197.3999577268,2429,1.2731127564327709,1057539.155090949,0.4956772334293948,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,6,1+2,1.0,4843,1.2608368631328084,1618664.3458057004,2429,1.195285479598336,118769.79957144527,0.47632770687525733,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,7,1+3,1.0,4829,1.259172113633997,1529770.1573942604,2428,1.2326772892959783,209790.71315237076,0.4798187808896211,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,8,1+4,1.0,4821,1.2578648013327154,1281993.7111187233,2429,1.2428983831624238,441818.1471949205,0.48167970358172085,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,9,1+5,1.0,4834,1.2379914811596051,663359.8264145707,2428,1.2692199192281968,1079048.034541763,0.4855848434925865,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,10,2+3,1.0,4844,1.2637830024792265,1499075.8785559577,2429,1.2126834774170565,239302.1742195768,0.47591601482091395,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,11,2+4,1.0,4826,1.2637059215637463,1251889.7602896083,2430,1.2307655828290107,471329.60826212657,0.4777777777777778,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,12,2+5,1.0,4839,1.2470714395454547,633255.8755854559,2429,1.2619734143279533,1108559.495608969,0.48167970358172085,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,13,3+4,1.0,4843,1.261779671940315,1168037.6701462832,2429,1.2407411899114345,562350.521843052,0.4812680115273775,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,14,3+5,1.0,4838,1.240362652661187,543954.2899270327,2428,1.265099172181834,1199580.4091898943,0.48517298187808894,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,3,capital_com,p95,XAUUSD,15,4+5,1.0,4847,1.2209669388800728,301814.2444285586,2429,1.263050573413985,1431607.843232444,0.48703170028818443,cell_3_breakout_retest_capital_com_p95_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,1,0+1,1.0,4777,1.3053432116596275,4965781.854898214,2392,1.3250461601047474,95872.66659132135,0.4807692307692308,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,2,0+2,1.0,4758,1.3109296046064773,4937843.222301234,2391,1.1776795114752305,118918.76498100796,0.46800501882057716,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,3,0+3,1.0,4761,1.2997437852127038,4603994.927212323,2392,1.3792055350925736,448518.7882815692,0.48578595317725753,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,4,0+4,1.0,4752,1.2761959541664443,3603840.8130264003,2392,1.410140609585284,1397525.4992471414,0.4866220735785953,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,5,0+5,1.0,4766,1.391547312221361,2026259.925410518,2391,1.2765584409777446,3117491.1824732185,0.47887913007109995,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,6,1+2,1.0,4762,1.3117133121650424,4900517.55765687,2391,1.1883713931688413,156449.52403068438,0.45545796737766625,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,7,1+3,1.0,4754,1.300449559859843,4565903.608634055,2392,1.3616345794961315,486049.5473312456,0.47324414715719065,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,8,1+4,1.0,4745,1.2767307153235756,3565749.494448133,2392,1.4021252509836988,1435056.2582968178,0.47408026755852845,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,9,1+5,1.0,4759,1.3966702507467224,1988168.6068322498,2391,1.275940602662956,3155021.941522895,0.46633207862818904,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,10,2+3,1.0,4769,1.305988003355518,4537892.515920841,2391,1.2962662402098453,509095.6457209322,0.4604767879548306,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,11,2+4,1.0,4736,1.2828385207331878,3536834.2000739644,2391,1.3697935884203127,1458102.3566865046,0.4613132580510247,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,12,2+5,1.0,4750,1.4230133081202256,1959253.3124580826,2390,1.2691444940771932,3178068.039912581,0.4535564853556485,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,13,3+4,1.0,4754,1.268076230746661,3218320.7252296866,2392,1.4011436414332414,1787702.3799870657,0.4790969899665552,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,14,3+5,1.0,4753,1.3954254040241523,1625405.0173691714,2391,1.2846778693865557,3507668.0632131426,0.4713508992053534,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,15,4+5,1.0,4776,1.3016097775513022,603511.3279843447,2391,1.3063811350123327,4456674.774178715,0.4721873693015475,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,5,pepperstone,median,XAUUSD,1,0+1,1.0,4777,1.3053432116596275,4965781.854898214,2392,1.3250461601047474,95872.66659132135,0.4807692307692308,cell_5_breakout_retest_pepperstone_median_trades.csv
PASS,5,pepperstone,median,XAUUSD,2,0+2,1.0,4758,1.3109296046064773,4937843.222301234,2391,1.1776795114752305,118918.76498100796,0.46800501882057716,cell_5_breakout_retest_pepperstone_median_trades.csv
PASS,5,pepperstone,median,XAUUSD,3,0+3,1.0,4761,1.2997437852127038,4603994.927212323,2392,1.3792055350925736,448518.7882815692,0.48578595317725753,cell_5_breakout_retest_pepperstone_median_trades.csv
PASS,5,pepperstone,median,XAUUSD,4,0+4,1.0,4752,1.2761959541664443,3603840.8130264003,2392,1.410140609585284,1397525.4992471414,0.4866220735785953,cell_5_breakout_retest_pepperstone_median_trades.csv
PASS,5,pepperstone,median,XAUUSD,5,0+5,1.0,4766,1.391547312221361,2026259.925410518,2391,1.2765584409777446,3117491.1824732185,0.47887913007109995,cell_5_breakout_retest_pepperstone_median_trades.csv
