guard_event_id,guard_session_id,baseline_lifecycle_event_id,paper_shadow_event_id,source_cluster_id,family_event_id,decision_bar_time,broker_day,symbol,direction,input_paper_shadow_action,baseline_lifecycle_stage,baseline_synthetic_open_state,baseline_synthetic_close_reason,baseline_synthetic_net_r,proxy_cost_r,guard_decision,guard_block_reason,guarded_synthetic_net_r,guarded_running_equity_r,guarded_running_peak_r,guarded_running_drawdown_r,guarded_daily_realized_r,daily_lock_active_after_event,portfolio_lock_active_after_event,demo_authorized,blocker_override_mode,mt5_runtime_touched,broker_action_code_allowed,guard_notes
PH3GUARD00001,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00001,PH3SHADOW00001,WS001,FAM00001,2026.05.22 11:25:00,2026.05.22,XAUUSD,SHORT,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_stop_hit,-1.2529,0.2529,GUARDED_SYNTHETIC_OPEN,,-1.2529,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,Guard allowed synthetic exposure in this side experiment.
PH3GUARD00002,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00002,PH3SHADOW00002,WS002,FAM00001,2026.05.22 11:25:00,2026.05.22,XAUUSD,SHORT,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.2529,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00003,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00003,PH3SHADOW00003,WS003,FAM00002,2026.05.22 11:50:00,2026.05.22,XAUUSD,LONG,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_time_stop_small_win,0.1769,0.1731,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,Guard blocked synthetic exposure: daily_worst_case_loss_budget_would_breach.
PH3GUARD00004,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00004,PH3SHADOW00004,WS004,FAM00002,2026.05.22 11:50:00,2026.05.22,XAUUSD,LONG,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.1731,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00005,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00005,PH3SHADOW00005,WS005,FAM00003,2026.05.22 12:45:00,2026.05.22,XAUUSD,LONG,BLOCKED_SUSPEND_FAMILY,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,net_expectancy_below_minimum_after_proxy_cost,0.0000,0.3734,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00006,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00006,PH3SHADOW00006,WS006,FAM00003,2026.05.22 12:45:00,2026.05.22,XAUUSD,LONG,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.3734,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00007,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00007,PH3SHADOW00007,WS007,FAM00004,2026.05.22 12:50:00,2026.05.22,XAUUSD,LONG,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_break_even,-0.2633,0.2633,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,Guard blocked synthetic exposure: daily_worst_case_loss_budget_would_breach.
PH3GUARD00008,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00008,PH3SHADOW00008,WS008,FAM00004,2026.05.22 12:50:00,2026.05.22,XAUUSD,LONG,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.2633,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00009,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00009,PH3SHADOW00009,WS009,FAM00005,2026.05.22 14:05:00,2026.05.22,XAUUSD,SHORT,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_time_stop_small_loss,-0.4363,0.1863,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,Guard blocked synthetic exposure: daily_worst_case_loss_budget_would_breach.
PH3GUARD00010,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00010,PH3SHADOW00010,WS010,FAM00005,2026.05.22 14:05:00,2026.05.22,XAUUSD,SHORT,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.1863,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00011,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00011,PH3SHADOW00011,WS011,FAM00006,2026.05.25 05:50:00,2026.05.25,XAUUSD,SHORT,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_stop_hit,-1.1838,0.1838,GUARDED_SYNTHETIC_OPEN,,-1.1838,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,Guard allowed synthetic exposure in this side experiment.
PH3GUARD00012,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00012,PH3SHADOW00012,WS012,FAM00006,2026.05.25 05:50:00,2026.05.25,XAUUSD,SHORT,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.1838,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00013,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00013,PH3SHADOW00013,WS013,FAM00007,2026.05.25 07:40:00,2026.05.25,XAUUSD,SHORT,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_time_stop_small_win,0.2142,0.1358,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,Guard blocked synthetic exposure: daily_worst_case_loss_budget_would_breach.
PH3GUARD00014,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00014,PH3SHADOW00014,WS014,FAM00007,2026.05.25 07:40:00,2026.05.25,XAUUSD,SHORT,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.1358,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00015,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00015,PH3SHADOW00015,WS015,FAM00008,2026.05.25 12:50:00,2026.05.25,XAUUSD,SHORT,BLOCKED_SUSPEND_FAMILY,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,net_expectancy_below_minimum_after_proxy_cost,0.0000,0.4804,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00016,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00016,PH3SHADOW00016,WS016,FAM00008,2026.05.25 12:50:00,2026.05.25,XAUUSD,SHORT,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.4804,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00017,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00017,PH3SHADOW00017,WS017,FAM00009,2026.05.25 13:20:00,2026.05.25,XAUUSD,SHORT,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_break_even,-0.1711,0.1711,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,Guard blocked synthetic exposure: daily_worst_case_loss_budget_would_breach.
PH3GUARD00018,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00018,PH3SHADOW00018,WS018,FAM00009,2026.05.25 13:20:00,2026.05.25,XAUUSD,SHORT,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.1711,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00019,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00019,PH3SHADOW00019,WS019,FAM00010,2026.05.25 15:05:00,2026.05.25,XAUUSD,LONG,BLOCKED_SUSPEND_FAMILY,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,net_expectancy_below_minimum_after_proxy_cost,0.0000,0.5735,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00020,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00020,PH3SHADOW00020,WS020,FAM00010,2026.05.25 15:05:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.5735,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00021,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00021,PH3SHADOW00021,WS021,FAM00011,2026.05.25 15:15:00,2026.05.25,XAUUSD,LONG,BLOCKED_SUSPEND_FAMILY,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,net_expectancy_below_minimum_after_proxy_cost,0.0000,0.5652,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00022,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00022,PH3SHADOW00022,WS022,FAM00011,2026.05.25 15:15:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.5652,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00023,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00023,PH3SHADOW00023,WS023,FAM00012,2026.05.25 16:45:00,2026.05.25,XAUUSD,LONG,BLOCKED_SUSPEND_FAMILY,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,net_expectancy_below_minimum_after_proxy_cost,0.0000,0.6213,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00024,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00024,PH3SHADOW00024,WS024,FAM00012,2026.05.25 16:45:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.6213,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00025,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00025,PH3SHADOW00025,WS025,FAM00013,2026.05.25 16:50:00,2026.05.25,XAUUSD,LONG,BLOCKED_SUSPEND_FAMILY,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,net_expectancy_below_minimum_after_proxy_cost,0.0000,0.4801,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00026,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00026,PH3SHADOW00026,WS026,FAM00013,2026.05.25 16:50:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.4801,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00027,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00027,PH3SHADOW00027,WS027,FAM00014,2026.05.25 22:20:00,2026.05.25,XAUUSD,LONG,BLOCKED_SUSPEND_FAMILY,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,net_expectancy_below_minimum_after_proxy_cost,0.0000,0.4822,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00028,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00028,PH3SHADOW00028,WS028,FAM00014,2026.05.25 22:20:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.4822,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00029,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00029,PH3SHADOW00029,WS029,FAM00015,2026.05.25 22:45:00,2026.05.25,XAUUSD,LONG,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_time_stop_small_loss,-0.5134,0.2634,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,Guard blocked synthetic exposure: daily_worst_case_loss_budget_would_breach.
PH3GUARD00030,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00030,PH3SHADOW00030,WS030,FAM00015,2026.05.25 22:45:00,2026.05.25,XAUUSD,LONG,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.2634,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-2.4367,0.0000,-2.4367,-1.1838,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00031,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00031,PH3SHADOW00031,WS031,FAM00016,2026.05.26 00:55:00,2026.05.26,XAUUSD,SHORT,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_stop_hit,-1.1436,0.1436,GUARDED_SYNTHETIC_OPEN,,-1.1436,-3.5803,0.0000,-3.5803,-1.1436,false,false,false,side_experiment_only,false,false,Guard allowed synthetic exposure in this side experiment.
PH3GUARD00032,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00032,PH3SHADOW00032,WS032,FAM00017,2026.05.26 05:50:00,2026.05.26,XAUUSD,SHORT,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_break_even,-0.2026,0.2026,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,0.0000,-3.5803,0.0000,-3.5803,-1.1436,false,false,false,side_experiment_only,false,false,Guard blocked synthetic exposure: daily_worst_case_loss_budget_would_breach.
PH3GUARD00033,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00033,PH3SHADOW00033,WS033,FAM00017,2026.05.26 05:50:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.2026,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-3.5803,0.0000,-3.5803,-1.1436,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00034,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00034,PH3SHADOW00034,WS034,FAM00018,2026.05.26 07:40:00,2026.05.26,XAUUSD,SHORT,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_time_stop_small_loss,-0.4006,0.1506,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,0.0000,-3.5803,0.0000,-3.5803,-1.1436,false,false,false,side_experiment_only,false,false,Guard blocked synthetic exposure: daily_worst_case_loss_budget_would_breach.
PH3GUARD00035,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00035,PH3SHADOW00035,WS035,FAM00018,2026.05.26 07:40:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.1506,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-3.5803,0.0000,-3.5803,-1.1436,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00036,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00036,PH3SHADOW00036,WS036,FAM00019,2026.05.26 08:30:00,2026.05.26,XAUUSD,SHORT,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_stop_hit,-1.2532,0.2532,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,0.0000,-3.5803,0.0000,-3.5803,-1.1436,false,false,false,side_experiment_only,false,false,Guard blocked synthetic exposure: daily_worst_case_loss_budget_would_breach.
PH3GUARD00037,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00037,PH3SHADOW00037,WS037,FAM00019,2026.05.26 08:30:00,2026.05.26,XAUUSD,SHORT,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.2532,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-3.5803,0.0000,-3.5803,-1.1436,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00038,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00038,PH3SHADOW00038,WS038,FAM00020,2026.05.26 12:00:00,2026.05.26,XAUUSD,SHORT,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_time_stop_small_win,0.0630,0.2870,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,0.0000,-3.5803,0.0000,-3.5803,-1.1436,false,false,false,side_experiment_only,false,false,Guard blocked synthetic exposure: daily_worst_case_loss_budget_would_breach.
