paper_shadow_event_id,paper_shadow_session_id,source_event_id,source_cluster_id,family_event_id,family_event_role,primary_stream_allowed,timestamp_broker,timestamp_utc,timestamp_local,symbol,expert_family,observer,decision_bar_time,direction,entry_price_projected,stop_price_projected,target_price_projected,stop_distance_points,spread_points,cost_mode,proxy_cost_r,net_after_proxy_from_gross_r,net_delta_vs_assumed_baseline_r,kill_rule_state,paper_shadow_state,paper_shadow_action,paper_shadow_exposure_units,blocked_reason,review_priority,demo_authorized,real_phase2_readiness,blocker_override_mode,mt5_runtime_touched,broker_action_code_allowed,paper_shadow_notes
PH3SHADOW00001,phase3-paper-shadow-side-experiment-v0,PH3EXP00001,WS001,FAM00001,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.22 11:25:01,2026.05.22 11:24:57,2026.05.22 15:24:57,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 11:25:00,SHORT,4511.74,4516.09,4505.22,434.9100,50.0000,entry_exit_proxy,0.2529,0.2587,0.0699,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00002,phase3-paper-shadow-side-experiment-v0,PH3EXP00002,WS002,FAM00001,OBSERVER_DUPLICATE,false,2026.05.22 11:25:01,2026.05.22 11:24:57,2026.05.22 15:24:57,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 11:25:00,SHORT,4511.74,4516.09,4505.22,434.9100,50.0000,entry_exit_proxy,0.2529,0.2587,0.0699,NORMAL,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00003,phase3-paper-shadow-side-experiment-v0,PH3EXP00003,WS003,FAM00002,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.22 11:50:01,2026.05.22 11:49:57,2026.05.22 15:49:57,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 11:50:00,LONG,4522.94,4516.58,4532.47,635.5700,50.0000,entry_exit_proxy,0.1731,0.3385,0.1497,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00004,phase3-paper-shadow-side-experiment-v0,PH3EXP00004,WS004,FAM00002,OBSERVER_DUPLICATE,false,2026.05.22 11:50:01,2026.05.22 11:49:57,2026.05.22 15:49:57,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 11:50:00,LONG,4522.94,4516.58,4532.47,635.5700,50.0000,entry_exit_proxy,0.1731,0.3385,0.1497,NORMAL,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00005,phase3-paper-shadow-side-experiment-v0,PH3EXP00005,WS005,FAM00003,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.22 12:45:00,2026.05.22 12:44:56,2026.05.22 16:44:56,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 12:45:00,LONG,4518.58,4514.30,4525.01,428.4900,75.0000,entry_exit_proxy,0.3734,0.1382,-0.0506,SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,BLOCKED_SUSPEND_FAMILY,0,net_expectancy_below_minimum_after_proxy_cost,HIGH,false,PENDING,side_experiment_only,false,false,Primary family event remains blocked by the experimental cost-survival rule.
PH3SHADOW00006,phase3-paper-shadow-side-experiment-v0,PH3EXP00006,WS006,FAM00003,OBSERVER_DUPLICATE,false,2026.05.22 12:45:00,2026.05.22 12:44:56,2026.05.22 16:44:56,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 12:45:00,LONG,4518.58,4514.30,4525.01,428.4900,75.0000,entry_exit_proxy,0.3734,0.1382,-0.0506,SUSPEND_FAMILY,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00007,phase3-paper-shadow-side-experiment-v0,PH3EXP00007,WS007,FAM00004,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.22 12:50:00,2026.05.22 12:50:01,2026.05.22 16:50:01,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 12:50:00,LONG,4519.58,4515.40,4525.85,417.7800,50.0000,entry_exit_proxy,0.2633,0.2483,0.0595,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00008,phase3-paper-shadow-side-experiment-v0,PH3EXP00008,WS008,FAM00004,OBSERVER_DUPLICATE,false,2026.05.22 12:50:00,2026.05.22 12:50:01,2026.05.22 16:50:01,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 12:50:00,LONG,4519.58,4515.40,4525.85,417.7800,50.0000,entry_exit_proxy,0.2633,0.2483,0.0595,NORMAL,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00009,phase3-paper-shadow-side-experiment-v0,PH3EXP00009,WS009,FAM00005,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.22 14:05:00,2026.05.22 14:05:00,2026.05.22 18:05:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 14:05:00,SHORT,4511.45,4517.35,4502.59,590.4600,50.0000,entry_exit_proxy,0.1863,0.3253,0.1365,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00010,phase3-paper-shadow-side-experiment-v0,PH3EXP00010,WS010,FAM00005,OBSERVER_DUPLICATE,false,2026.05.22 14:05:00,2026.05.22 14:05:00,2026.05.22 18:05:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 14:05:00,SHORT,4511.45,4517.35,4502.59,590.4600,50.0000,entry_exit_proxy,0.1863,0.3253,0.1365,NORMAL,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00011,phase3-paper-shadow-side-experiment-v0,PH3EXP00011,WS011,FAM00006,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.25 05:50:00,2026.05.25 05:49:57,2026.05.25 11:19:57,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 05:50:00,SHORT,4555.14,4561.13,4546.16,598.5500,50.0000,entry_exit_proxy,0.1838,0.3278,0.1390,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00012,phase3-paper-shadow-side-experiment-v0,PH3EXP00012,WS012,FAM00006,OBSERVER_DUPLICATE,false,2026.05.25 05:50:00,2026.05.25 05:49:57,2026.05.25 11:19:57,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 05:50:00,SHORT,4555.14,4561.13,4546.16,598.5500,50.0000,entry_exit_proxy,0.1838,0.3278,0.1390,NORMAL,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00013,phase3-paper-shadow-side-experiment-v0,PH3EXP00013,WS013,FAM00007,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.25 07:40:00,2026.05.25 07:39:56,2026.05.25 13:09:56,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 07:40:00,SHORT,4553.95,4562.05,4541.80,810.1100,50.0000,entry_exit_proxy,0.1358,0.3758,0.1870,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00014,phase3-paper-shadow-side-experiment-v0,PH3EXP00014,WS014,FAM00007,OBSERVER_DUPLICATE,false,2026.05.25 07:40:00,2026.05.25 07:39:56,2026.05.25 13:09:56,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 07:40:00,SHORT,4553.95,4562.05,4541.80,810.1100,50.0000,entry_exit_proxy,0.1358,0.3758,0.1870,NORMAL,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00015,phase3-paper-shadow-side-experiment-v0,PH3EXP00015,WS015,FAM00008,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.25 12:50:00,2026.05.25 12:50:00,2026.05.25 18:20:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 12:50:00,SHORT,4566.19,4569.52,4561.19,333.0400,75.0000,entry_exit_proxy,0.4804,0.0312,-0.1576,SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,BLOCKED_SUSPEND_FAMILY,0,net_expectancy_below_minimum_after_proxy_cost,HIGH,false,PENDING,side_experiment_only,false,false,Primary family event remains blocked by the experimental cost-survival rule.
PH3SHADOW00016,phase3-paper-shadow-side-experiment-v0,PH3EXP00016,WS016,FAM00008,OBSERVER_DUPLICATE,false,2026.05.25 12:50:00,2026.05.25 12:50:00,2026.05.25 18:20:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 12:50:00,SHORT,4566.19,4569.52,4561.19,333.0400,75.0000,entry_exit_proxy,0.4804,0.0312,-0.1576,SUSPEND_FAMILY,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00017,phase3-paper-shadow-side-experiment-v0,PH3EXP00017,WS017,FAM00009,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.25 13:20:00,2026.05.25 13:20:00,2026.05.25 18:50:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 13:20:00,SHORT,4562.45,4568.88,4552.81,642.9000,50.0000,entry_exit_proxy,0.1711,0.3405,0.1517,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00018,phase3-paper-shadow-side-experiment-v0,PH3EXP00018,WS018,FAM00009,OBSERVER_DUPLICATE,false,2026.05.25 13:20:00,2026.05.25 13:20:00,2026.05.25 18:50:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 13:20:00,SHORT,4562.45,4568.88,4552.81,642.9000,50.0000,entry_exit_proxy,0.1711,0.3405,0.1517,NORMAL,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00019,phase3-paper-shadow-side-experiment-v0,PH3EXP00019,WS019,FAM00010,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.25 15:05:00,2026.05.25 15:05:00,2026.05.25 20:35:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 15:05:00,LONG,4566.87,4564.95,4569.75,191.8100,50.0000,entry_exit_proxy,0.5735,-0.0619,-0.2507,SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,BLOCKED_SUSPEND_FAMILY,0,net_expectancy_below_minimum_after_proxy_cost,HIGH,false,PENDING,side_experiment_only,false,false,Primary family event remains blocked by the experimental cost-survival rule.
PH3SHADOW00020,phase3-paper-shadow-side-experiment-v0,PH3EXP00020,WS020,FAM00010,OBSERVER_DUPLICATE,false,2026.05.25 15:05:00,2026.05.25 15:05:00,2026.05.25 20:35:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 15:05:00,LONG,4566.87,4564.95,4569.75,191.8100,50.0000,entry_exit_proxy,0.5735,-0.0619,-0.2507,SUSPEND_FAMILY,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00021,phase3-paper-shadow-side-experiment-v0,PH3EXP00021,WS021,FAM00011,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.25 15:15:00,2026.05.25 15:15:00,2026.05.25 20:45:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 15:15:00,LONG,4568.04,4565.21,4572.29,283.0900,75.0000,entry_exit_proxy,0.5652,-0.0536,-0.2424,SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,BLOCKED_SUSPEND_FAMILY,0,net_expectancy_below_minimum_after_proxy_cost,HIGH,false,PENDING,side_experiment_only,false,false,Primary family event remains blocked by the experimental cost-survival rule.
PH3SHADOW00022,phase3-paper-shadow-side-experiment-v0,PH3EXP00022,WS022,FAM00011,OBSERVER_DUPLICATE,false,2026.05.25 15:15:00,2026.05.25 15:15:00,2026.05.25 20:45:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 15:15:00,LONG,4568.04,4565.21,4572.29,283.0900,75.0000,entry_exit_proxy,0.5652,-0.0536,-0.2424,SUSPEND_FAMILY,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00023,phase3-paper-shadow-side-experiment-v0,PH3EXP00023,WS023,FAM00012,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.25 16:45:00,2026.05.25 16:45:00,2026.05.25 22:15:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 16:45:00,LONG,4571.01,4569.24,4573.67,177.0400,50.0000,entry_exit_proxy,0.6213,-0.1097,-0.2985,SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,BLOCKED_SUSPEND_FAMILY,0,net_expectancy_below_minimum_after_proxy_cost,HIGH,false,PENDING,side_experiment_only,false,false,Primary family event remains blocked by the experimental cost-survival rule.
PH3SHADOW00024,phase3-paper-shadow-side-experiment-v0,PH3EXP00024,WS024,FAM00012,OBSERVER_DUPLICATE,false,2026.05.25 16:45:00,2026.05.25 16:45:00,2026.05.25 22:15:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 16:45:00,LONG,4571.01,4569.24,4573.67,177.0400,50.0000,entry_exit_proxy,0.6213,-0.1097,-0.2985,SUSPEND_FAMILY,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00025,phase3-paper-shadow-side-experiment-v0,PH3EXP00025,WS025,FAM00013,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.25 16:50:00,2026.05.25 16:50:00,2026.05.25 22:20:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 16:50:00,LONG,4572.27,4569.98,4575.71,229.1200,50.0000,entry_exit_proxy,0.4801,0.0315,-0.1573,SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,BLOCKED_SUSPEND_FAMILY,0,net_expectancy_below_minimum_after_proxy_cost,HIGH,false,PENDING,side_experiment_only,false,false,Primary family event remains blocked by the experimental cost-survival rule.
PH3SHADOW00026,phase3-paper-shadow-side-experiment-v0,PH3EXP00026,WS026,FAM00013,OBSERVER_DUPLICATE,false,2026.05.25 16:50:00,2026.05.25 16:50:00,2026.05.25 22:20:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 16:50:00,LONG,4572.27,4569.98,4575.71,229.1200,50.0000,entry_exit_proxy,0.4801,0.0315,-0.1573,SUSPEND_FAMILY,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00027,phase3-paper-shadow-side-experiment-v0,PH3EXP00027,WS027,FAM00014,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.25 22:20:00,2026.05.25 22:19:59,2026.05.26 03:49:59,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 22:20:00,LONG,4574.04,4571.76,4577.46,228.1100,50.0000,entry_exit_proxy,0.4822,0.0294,-0.1594,SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,BLOCKED_SUSPEND_FAMILY,0,net_expectancy_below_minimum_after_proxy_cost,HIGH,false,PENDING,side_experiment_only,false,false,Primary family event remains blocked by the experimental cost-survival rule.
PH3SHADOW00028,phase3-paper-shadow-side-experiment-v0,PH3EXP00028,WS028,FAM00014,OBSERVER_DUPLICATE,false,2026.05.25 22:20:00,2026.05.25 22:19:59,2026.05.26 03:49:59,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 22:20:00,LONG,4574.04,4571.76,4577.46,228.1100,50.0000,entry_exit_proxy,0.4822,0.0294,-0.1594,SUSPEND_FAMILY,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00029,phase3-paper-shadow-side-experiment-v0,PH3EXP00029,WS029,FAM00015,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.25 22:45:01,2026.05.25 22:44:59,2026.05.26 04:14:59,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 22:45:00,LONG,4573.37,4569.19,4579.63,417.5400,50.0000,entry_exit_proxy,0.2634,0.2482,0.0594,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00030,phase3-paper-shadow-side-experiment-v0,PH3EXP00030,WS030,FAM00015,OBSERVER_DUPLICATE,false,2026.05.25 22:45:01,2026.05.25 22:44:59,2026.05.26 04:14:59,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 22:45:00,LONG,4573.37,4569.19,4579.63,417.5400,50.0000,entry_exit_proxy,0.2634,0.2482,0.0594,NORMAL,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00031,phase3-paper-shadow-side-experiment-v0,PH3EXP00031,WS031,FAM00016,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.26 00:55:00,2026.05.26 00:54:58,2026.05.26 06:24:58,XAUUSD,breakout_retest_family,breakout_retest,2026.05.26 00:55:00,SHORT,4544.51,4552.17,4533.02,765.8200,50.0000,entry_exit_proxy,0.1436,0.3680,0.1792,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00032,phase3-paper-shadow-side-experiment-v0,PH3EXP00032,WS032,FAM00017,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.26 05:50:00,2026.05.26 05:49:57,2026.05.26 11:19:57,XAUUSD,breakout_retest_family,breakout_retest,2026.05.26 05:50:00,SHORT,4527.70,4533.13,4519.56,542.9900,50.0000,entry_exit_proxy,0.2026,0.3090,0.1202,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00033,phase3-paper-shadow-side-experiment-v0,PH3EXP00033,WS033,FAM00017,OBSERVER_DUPLICATE,false,2026.05.26 05:50:00,2026.05.26 05:49:57,2026.05.26 11:19:57,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.26 05:50:00,SHORT,4527.70,4533.13,4519.56,542.9900,50.0000,entry_exit_proxy,0.2026,0.3090,0.1202,NORMAL,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00034,phase3-paper-shadow-side-experiment-v0,PH3EXP00034,WS034,FAM00018,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.26 07:40:00,2026.05.26 07:39:57,2026.05.26 13:09:57,XAUUSD,breakout_retest_family,breakout_retest,2026.05.26 07:40:00,SHORT,4522.83,4530.14,4511.87,730.5600,50.0000,entry_exit_proxy,0.1506,0.3610,0.1722,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
