event_id,family_event_id,family_event_role,primary_stream_allowed,observer,decision_bar_time,direction,level_kind,spread_points,total_cost_points,stop_distance_points,measured_cost_r_proxy,net_expectancy_r_after_proxy_cost,gross_expectancy_r_source,baseline_assumed_cost_r,baseline_net_expectancy_r,proxy_cost_r,net_after_proxy_from_gross_r,net_delta_vs_assumed_baseline_r,cost_excess_r,cost_excess_points,diagnosis,suggested_reviewer_annotation,manual_reviewer_annotation,manual_reviewer_notes,reviewer,reviewed_at_utc
PH3EXP00005,FAM00003,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.22 12:45:00,LONG,latest_swing_high,75.0000,160.0000,428.4900,0.3734,0.1382,fixed_notional_phase0_baseline,0.3228,0.1888,0.3734,0.1382,-0.0506,0.0118,5.0580,wide_spread_plus_entry_exit_cost,COST_ISSUE,,,,
PH3EXP00006,FAM00003,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.22 12:45:00,LONG,latest_swing_high,75.0000,160.0000,428.4900,0.3734,0.1382,fixed_notional_phase0_baseline,0.3228,0.1888,0.3734,0.1382,-0.0506,0.0118,5.0580,wide_spread_plus_entry_exit_cost,DUPLICATED_OBSERVER_ISSUE,,,,
PH3EXP00015,FAM00008,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.25 12:50:00,SHORT,latest_swing_low,75.0000,160.0000,333.0400,0.4804,0.0312,fixed_notional_phase0_baseline,0.3228,0.1888,0.4804,0.0312,-0.1576,0.1188,39.5727,wide_spread_plus_entry_exit_cost,COST_ISSUE,,,,
PH3EXP00016,FAM00008,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.25 12:50:00,SHORT,latest_swing_low,75.0000,160.0000,333.0400,0.4804,0.0312,fixed_notional_phase0_baseline,0.3228,0.1888,0.4804,0.0312,-0.1576,0.1188,39.5727,wide_spread_plus_entry_exit_cost,DUPLICATED_OBSERVER_ISSUE,,,,
PH3EXP00019,FAM00010,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.25 15:05:00,LONG,latest_swing_high,50.0000,110.0000,191.8100,0.5735,-0.0619,fixed_notional_phase0_baseline,0.3228,0.1888,0.5735,-0.0619,-0.2507,0.2119,40.6415,tight_stop_cost_dominates,TIGHT_STOP_ISSUE,,,,
PH3EXP00020,FAM00010,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.25 15:05:00,LONG,latest_swing_high,50.0000,110.0000,191.8100,0.5735,-0.0619,fixed_notional_phase0_baseline,0.3228,0.1888,0.5735,-0.0619,-0.2507,0.2119,40.6415,tight_stop_cost_dominates,DUPLICATED_OBSERVER_ISSUE,,,,
PH3EXP00021,FAM00011,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.25 15:15:00,LONG,latest_swing_high,75.0000,160.0000,283.0900,0.5652,-0.0536,fixed_notional_phase0_baseline,0.3228,0.1888,0.5652,-0.0536,-0.2424,0.2036,57.6347,wide_spread_plus_entry_exit_cost,COST_ISSUE,,,,
PH3EXP00022,FAM00011,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.25 15:15:00,LONG,latest_swing_high,75.0000,160.0000,283.0900,0.5652,-0.0536,fixed_notional_phase0_baseline,0.3228,0.1888,0.5652,-0.0536,-0.2424,0.2036,57.6347,wide_spread_plus_entry_exit_cost,DUPLICATED_OBSERVER_ISSUE,,,,
PH3EXP00023,FAM00012,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.25 16:45:00,LONG,latest_swing_high,50.0000,110.0000,177.0400,0.6213,-0.1097,fixed_notional_phase0_baseline,0.3228,0.1888,0.6213,-0.1097,-0.2985,0.2597,45.9823,tight_stop_cost_dominates,TIGHT_STOP_ISSUE,,,,
PH3EXP00024,FAM00012,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.25 16:45:00,LONG,latest_swing_high,50.0000,110.0000,177.0400,0.6213,-0.1097,fixed_notional_phase0_baseline,0.3228,0.1888,0.6213,-0.1097,-0.2985,0.2597,45.9823,tight_stop_cost_dominates,DUPLICATED_OBSERVER_ISSUE,,,,
PH3EXP00025,FAM00013,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.25 16:50:00,LONG,latest_swing_high,50.0000,110.0000,229.1200,0.4801,0.0315,fixed_notional_phase0_baseline,0.3228,0.1888,0.4801,0.0315,-0.1573,0.1185,27.1502,normal_spread_small_stop,UNKNOWN,,,,
PH3EXP00026,FAM00013,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.25 16:50:00,LONG,latest_swing_high,50.0000,110.0000,229.1200,0.4801,0.0315,fixed_notional_phase0_baseline,0.3228,0.1888,0.4801,0.0315,-0.1573,0.1185,27.1502,normal_spread_small_stop,DUPLICATED_OBSERVER_ISSUE,,,,
PH3EXP00027,FAM00014,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.25 22:20:00,LONG,latest_swing_high,50.0000,110.0000,228.1100,0.4822,0.0294,fixed_notional_phase0_baseline,0.3228,0.1888,0.4822,0.0294,-0.1594,0.1206,27.5154,normal_spread_small_stop,UNKNOWN,,,,
PH3EXP00028,FAM00014,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.25 22:20:00,LONG,latest_swing_high,50.0000,110.0000,228.1100,0.4822,0.0294,fixed_notional_phase0_baseline,0.3228,0.1888,0.4822,0.0294,-0.1594,0.1206,27.5154,normal_spread_small_stop,DUPLICATED_OBSERVER_ISSUE,,,,
PH3EXP00066,FAM00034,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.27 06:05:00,SHORT,latest_swing_low,75.0000,160.0000,413.7600,0.3867,0.1249,fixed_notional_phase0_baseline,0.3228,0.1888,0.3867,0.1249,-0.0639,0.0251,10.3844,wide_spread_plus_entry_exit_cost,COST_ISSUE,,,,
PH3EXP00067,FAM00034,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.27 06:05:00,SHORT,latest_swing_low,75.0000,160.0000,413.7600,0.3867,0.1249,fixed_notional_phase0_baseline,0.3228,0.1888,0.3867,0.1249,-0.0639,0.0251,10.3844,wide_spread_plus_entry_exit_cost,DUPLICATED_OBSERVER_ISSUE,,,,
PH3EXP00075,FAM00039,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.27 09:55:00,LONG,latest_swing_high,50.0000,110.0000,211.6700,0.5197,-0.0081,fixed_notional_phase0_baseline,0.3228,0.1888,0.5197,-0.0081,-0.1969,0.1581,33.4601,tight_stop_cost_dominates,TIGHT_STOP_ISSUE,,,,
PH3EXP00076,FAM00039,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.27 09:55:00,LONG,latest_swing_high,50.0000,110.0000,211.6700,0.5197,-0.0081,fixed_notional_phase0_baseline,0.3228,0.1888,0.5197,-0.0081,-0.1969,0.1581,33.4601,tight_stop_cost_dominates,DUPLICATED_OBSERVER_ISSUE,,,,
PH3EXP00086,FAM00046,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.27 18:00:00,SHORT,previous_weekly_low,75.0000,160.0000,344.9300,0.4639,0.0477,fixed_notional_phase0_baseline,0.3228,0.1888,0.4639,0.0477,-0.1411,0.1023,35.2733,wide_spread_plus_entry_exit_cost,COST_ISSUE,,,,
PH3EXP00089,FAM00049,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.27 19:55:00,SHORT,previous_weekly_low,50.0000,110.0000,210.4200,0.5228,-0.0112,fixed_notional_phase0_baseline,0.3228,0.1888,0.5228,-0.0112,-0.2000,0.1612,33.9121,tight_stop_cost_dominates,TIGHT_STOP_ISSUE,,,,
PH3EXP00107,FAM00061,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.28 11:25:00,SHORT,latest_swing_low,75.0000,160.0000,440.6700,0.3631,0.1485,fixed_notional_phase0_baseline,0.3228,0.1888,0.3631,0.1485,-0.0403,0.0015,0.6537,wide_spread_plus_entry_exit_cost,COST_ISSUE,,,,
PH3EXP00108,FAM00061,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.28 11:25:00,SHORT,latest_swing_low,75.0000,160.0000,440.6700,0.3631,0.1485,fixed_notional_phase0_baseline,0.3228,0.1888,0.3631,0.1485,-0.0403,0.0015,0.6537,wide_spread_plus_entry_exit_cost,DUPLICATED_OBSERVER_ISSUE,,,,
